Q,A,label
내 사랑이 부족한걸까?,더 노력해보세요.,2
내 사랑이 있을까?,눈을 크게 뜨고 잘 찾아보세요.,2
내 아이돌이랑 연애하보고 싶다,환상이 깨지면 많이 슬플 거예요.,2
내 여자로 만들기,사랑은 소유하는 게 아니에요.,2
내 여자하자.,저라도 괜찮나요?,2
내 왜 좋아할까?,당신 존재 자체만으로 이유가 됩니다.,2
내 이상형도 아닌데 그 여자를 왜 좋아하는지 모르겠어.,이상형은 이상형일 뿐이니까요.,2
내 이상형이 뭔지 모르겠어.,이상형이 꼭 있어야할 필요는 없어요.,2
내 이상형이 아닌데 그 남자를 왜 이렇게 좋아할까.,이상형은 이상형일 뿐이니까요.,2
내 존재를 알리고 싶어,우연을 가장해서 여러 번 마주쳐보세요.,2
내 첫사랑이 날 기억 못 해.,모든 기억은 같지 않으니 너무 실망하지 마세요.,2
내 친구가 내 짝남 욕을 계속 해.,친구가 좋아하는지 모르고 있나 봅니다.,2
내 친구가 내 짝남 좋아하나?,그렇게 느껴진다면 사실일지도 모르겠네요.,2
내 친구들이 다 별로라고 하는 짝녀 나만 좋다면 연락하는게 맞는걸까?,다른 사람들이 별로라고 말하는 이유를 생각해보세요.,2
내 친구랑 내 짝남이 서로 좋아하는 것 같아.,안타까운 상황이네요.,2
내 친구랑 내 짝녀가 서로 좋아하는 것 같은데 나 어떡함?,천천히 마음을 정리하는게 필요하겠어요.,2
내가 그 사람을 좋아하는건지 아닌지 착각이 들어.,확신이 서지 않을 때가 있지요.,2
내가 그냥 아는 여자라네?,그런 남자 신경쓰지 마세요.,2
내가 그냥 학교 후배래,그런 사람 신경쓰지 마세요.,2
내가 그녀를 생각하는 만큼 그녀도 다른 사람을 생각하겠지.,그런 생각은 접어두는게 맘 편합니다.,2
내가 그를 생각하는 만큼 그도 나를 생각할까.,내가 어떻게 생각하는지가 중요해요.,2
내가 그사람한테 필요했으면 좋겠어,사적 영역에 깊숙이 들어가보세요.,2
내가 너무 기댄 거 같아,상대방도 똑같은 인간이라는 걸 잊지 마세요.,2
내가 너무 몰아붙였나봐,좀 더 차분하게 생각할 시간을 주세요.,2
내가 너무 이기적이었어,상대방도 똑같은 인간이라는 걸 잊지 마세요.,2
내가 너무 진지한걸까.,부담되지 않는 선에서 진중한 태도도 좋네요.,2
내가 누굴 좋아하는지 헷갈리면 이상해?,확신이 없다면 헷갈릴 수 있지요.,2
내가 더 사랑할까?,누가 더 사랑하는지는 중요하지 않아요.,2
내가 더 좋아하는 거 같은 느낌이야.,그래봤자 상대방이 더 좋아할 거예요.,2
내가 더 좋아하는 관계,내가 더 좋아해도 덜 좋아해도 상관없어요.,2
내가 무의식 중에 무시하는 듯한 말투를 썼어,상대방을 존중해주세요.,2
내가 사랑하는 사람이 나를 사랑했으면,그 사람도 당신을 사랑하고 있을지도 몰라요.,2
내가 사랑해도 될까?,당연하죠.,2
내가 사랑했던 그 사람 맞아?,사랑했던 그 사람의 다른 모습이 보인거예요. 그 사람 맞아요.,2
내가 생각하는 만큼 걔도 날 생각할까?,확신이 없나보네요.,2
내가 생각했던 사람이 맞는지 확신이 안들어,새로운 모습을 봤나봐요.,2
내가 싫은 건 너도 싫어해줘서 고마워,싫은 게 통해야 편하죠.,2
내가 썸 깼는데 다시 연락하고 싶어.,감정에 확신이 있다면 연락해보세요.,2
내가 여자 좋아하는 줄 알았는데.,같은 여자를 좋아할 수도 있는 거예요.,2
내가 여자친구의 전남자친구보다 능력이 부족해.,사람 보고 만나는 걸테니 걱정마세요.,2
